Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
277505,African swine fever,,8.110304,3.613181,Oyo,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
277506,African swine fever,,9.343054,9.629934,Plateau,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
277503,African swine fever,,6.656339,5.851296,Edo,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
283792,African swine fever,,37.898942,127.588328,"Mokdong-ri, Buk-myeon, Gapyeong-gun, Gyeonggi-Do (Outbreak 9)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
275625,African swine fever,,-5.897293,144.214663,Western Highlands,Papua New Guinea,Oceania,,2020-07-09T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
283784,African swine fever,,38.009098,127.642091,"Wonpyeong-ri, Sabuk-myeon, Chuncheon-si, Gangwon-Do (Outbreak 1)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
277502,African swine fever,,7.289176,8.857676,Benue,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
283794,African swine fever,,38.095047,127.811268,"bangcheon-ri, gandong-myeon, Hwacheon-gun, Gangwon-Do (Outbreak 11)",Republic of Korea,Asia,2020-11-30T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
253505,African swine fever,,10.108386,105.985695,Vinh Long,Viet Nam,Asia,2019-04-11T00:00:00Z,2019-05-25T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
249035,African swine fever,,21.139705,105.847715,Phuong Cach,Viet Nam,Asia,2019-03-12T00:00:00Z,2019-03-17T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
283797,African swine fever,,38.207269,128.229132,"Seoheung-ri, Seohwa-myeon, Inje-gun, Gangwon-Do (Outbreak 14)",Republic of Korea,Asia,2020-12-01T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
283785,African swine fever,,38.009447,127.642241,"Wonpyeong-ri, Sabuk-myeon, Chuncheon-si, Gangwon-Do (Outbreak 2)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
277504,African swine fever,,10.250395,7.906949,Kaduna,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
283791,African swine fever,,38.037233,127.504789,"Samil-ri, Sanae-myeon, Hwacheon-gun, Gangwon-Do (Outbreak 8)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
257444,African swine fever,,44.217773,23.690846,Nedeia,Romania,Europe,2019-07-04T00:00:00Z,2019-07-25T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
