Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
389407,African swine fever,,9.179365,80.479806,Northern,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
389331,African swine fever,,6.827628,80.032933,Western,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
389408,African swine fever,,7.91242,80.107074,North Western,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
387566,African swine fever,,43.578858,19.714732,PRIJEPOLJE,Serbia,Europe,2024-06-18T00:00:00Z,2024-09-30T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),Domestic,Swine,",WOAH (former OIE),,,Confirmed
389330,African swine fever,,6.960994,81.239854,Uva,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
386225,African swine fever,,0.707978,101.580735,Riau,Indonesia,Asia,,2024-09-13T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
386223,African swine fever,,-2.212988,119.406323,Sulawesi Barat,Indonesia,Asia,,2024-09-13T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
390545,African swine fever,,2.270321,99.259126,Sumatera Utara,Indonesia,Asia,,2024-11-14T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
378195,African swine fever,,-0.957341,122.381925,Sulawesi Tengah ...,Indonesia,Asia,,2024-08-21T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
373798,African swine fever,,42.12019,20.39775,Kukes,Albania,Europe,2024-02-09T00:00:00Z,2024-02-26T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),",WOAH (former OIE),,,Confirmed
391614,African swine fever,,41.83,19.58,144104 LEZHE,Albania,Europe,2024-11-25T00:00:00Z,2024-11-27T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),",WOAH (former OIE),,,Confirmed
393566,African swine fever,,41.753183,19.637412,146114 ISHULL LEZHE,Albania,Europe,2024-12-25T00:00:00Z,2024-12-28T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
376682,African swine fever,,-14.9396,13.4553,Humpata,Angola,Africa,2024-02-02T00:00:00Z,2024-03-26T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
379439,African swine fever,,27.3979,90.7789,Domkhar,Bhutan,Asia,2024-05-01T00:00:00Z,2024-05-27T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),",WOAH (former OIE),,,Confirmed
374617,African swine fever,,26.917385,89.34069,Phuentshogling,Bhutan,Asia,2024-02-28T00:00:00Z,2024-02-29T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
384007,African swine fever,,27.443911,89.375403,"Rizhi village, Lamgong Gewog",Bhutan,Asia,2024-07-16T00:00:00Z,2024-07-18T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
382750,African swine fever,,27.635515,89.803111,"Kabjisa Gewog, Punakh",Bhutan,Asia,2024-06-28T00:00:00Z,2024-07-01T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
385789,African swine fever,,26.89111,90.47368,ob_139053 - Lekithang,Bhutan,Asia,2024-08-05T00:00:00Z,2024-09-03T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
382919,African swine fever,,27.294275,90.064062,"Zawakha,Athang.Wangduephodrang",Bhutan,Asia,2024-06-28T00:00:00Z,2024-07-02T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
376808,African swine fever,,43.6346,18.6597,Jabuka,Bosnia and Herzegovina,Europe,2024-03-08T00:00:00Z,2024-03-29T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),",WOAH (former OIE),,,Confirmed
