Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
152474,African horse sickness,;2;9;,14.244513,-15.20683,Kaolack,Senegal,Africa,2008-07-07T00:00:00Z,2009-08-01T00:00:00Z,"Domestic,donkey,",FAO-Report,,,Confirmed
129633,African horse sickness,,14.7869,-17.3096,Pikine,Senegal,Africa,2007-05-21T00:00:00Z,2007-09-12T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129634,African horse sickness,,14.765,-17.3974,Mbao,Senegal,Africa,2007-05-28T00:00:00Z,2007-09-12T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129966,African horse sickness,;2;,13.8433,-12.5916,Bala,Senegal,Africa,2007-08-29T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129962,African horse sickness,;2;,13.6897,-12.6684,Ndoga,Senegal,Africa,2007-08-21T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129635,African horse sickness,;2;,13.6677,-12.7122,Koussanar,Senegal,Africa,2007-08-06T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129967,African horse sickness,;2;,14.0518,-15.5102,Kaolack,Senegal,Africa,2007-08-29T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130332,African horse sickness,;2;,13.8323,-15.2359,Medina Sabakh,Senegal,Africa,2007-09-29T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130320,African horse sickness,;2;,14.0737,-14.8409,Maleme Hodar,Senegal,Africa,2007-09-11T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130333,African horse sickness,;2;,14.0518,-14.8409,Nganda,Senegal,Africa,2007-10-04T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130336,African horse sickness,;2;,14.0298,-14.9286,Sinthiou Baba Toure,Senegal,Africa,2007-09-19T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130331,African horse sickness,;2;,14.0737,-14.9835,Birkilane,Senegal,Africa,2007-09-29T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129650,African horse sickness,;2;,14.1286,-15.0164,Missirah,Senegal,Africa,2007-08-07T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129638,African horse sickness,;2;,14.0957,-14.7531,Saly Escale,Senegal,Africa,2007-08-06T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130322,African horse sickness,;2;,14.0847,-15.4992,"Kaffrine commune,",Senegal,Africa,2007-09-14T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129639,African horse sickness,;2;,14.1066,-15.5102,Kaolack,Senegal,Africa,2007-08-20T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129975,African horse sickness,;2;,14.0847,-15.4992,Kaolack,Senegal,Africa,2007-09-04T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130321,African horse sickness,;2;,14.4468,-15.2798,Mboss,Senegal,Africa,2007-09-12T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130339,African horse sickness,;2;,14.1725,-15.1371,Missirah,Senegal,Africa,2007-08-06T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129961,African horse sickness,;2;,14.1066,-15.5211,Kaolack,Senegal,Africa,2007-08-13T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129963,African horse sickness,;2;,13.6458,-13.7766,Makacoulibantang,Senegal,Africa,2007-08-22T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129636,African horse sickness,;2;,13.7116,-13.5791,Koumpentoum,Senegal,Africa,2007-08-06T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
251546,African horse sickness,,10.339344,13.561828,Bourha,Cameroon,Africa,2019-03-10T00:00:00Z,2019-04-17T00:00:00Z,"Domestic,Horse,Domestic,Equidae,",WOAH (former OIE),,,Confirmed
251547,African horse sickness,,10.339595,13.562534,Guili,Cameroon,Africa,2019-03-10T00:00:00Z,2019-04-17T00:00:00Z,"Domestic,Horse,Domestic,Equidae,",WOAH (former OIE),,,Confirmed
389716,African horse sickness,,10.8049,7.6419,142333 IGABI ,Nigeria,Africa,2024-10-25T00:00:00Z,2024-11-03T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
338784,African horse sickness,,6.597,3.857,Ikoyi,Nigeria,Africa,2022-12-13T00:00:00Z,2022-12-27T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
129583,African horse sickness,,6.4231,3.5689,Lagos polo club,Nigeria,Africa,2007-01-17T00:00:00Z,2007-09-25T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
152470,African horse sickness,;2;9;,14.736135,-17.229055,Dakar,Senegal,Africa,2008-07-07T00:00:00Z,2009-08-01T00:00:00Z,"Domestic,donkey,",FAO-Report,,,Confirmed
129978,African horse sickness,;2;,14.7211,-17.2109,Sangalkam,Senegal,Africa,2007-09-10T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
152472,African horse sickness,;2;9;,14.40892,-16.243189,Fatick,Senegal,Africa,2008-07-07T00:00:00Z,2009-08-01T00:00:00Z,"Domestic,donkey,",FAO-Report,,,Confirmed
284146,African horse sickness,,15.11,-16.111,"Kaolack Commune, Kaolack department, Kaolack region",Senegal,Africa,2020-11-19T00:00:00Z,2020-12-11T00:00:00Z,"Domestic,Equidae,",FAO ECTAD RAF,,,Confirmed
129973,African horse sickness,;2;,14.5016,-16.6293,Ndiaganiao,Senegal,Africa,2007-09-03T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130335,African horse sickness,;2;,14.6882,-16.7391,Thies,Senegal,Africa,2007-10-05T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130334,African horse sickness,;2;,14.8857,-16.6952,Tivaouane,Senegal,Africa,2007-10-05T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130319,African horse sickness,;2;,14.8857,-16.7171,Tivaouane,Senegal,Africa,2007-09-11T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
152460,African horse sickness,;2;9;,14.79854,-16.882508,Thies,Senegal,Africa,2008-07-07T00:00:00Z,2009-08-01T00:00:00Z,"Domestic,donkey,",FAO-Report,,,Confirmed
129964,African horse sickness,;2;,14.8527,-16.7061,Pire,Senegal,Africa,2007-08-27T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
129974,African horse sickness,;2;,15.0832,-16.5855,Pire,Senegal,Africa,2007-09-03T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
130330,African horse sickness,;2;,14.9296,-16.7061,Tivaouane,Senegal,Africa,2007-09-24T00:00:00Z,2007-12-05T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
187170,African horse sickness,,-26.419,31.214,Nelson,Swaziland,Africa,2014-06-09T00:00:00Z,2014-06-20T00:00:00Z,"Domestic,horse,",WOAH (former OIE),,,Confirmed
187171,African horse sickness,,-26.364,31.124,Stroma,Swaziland,Africa,2014-06-11T00:00:00Z,2014-06-20T00:00:00Z,"Domestic,horse,",WOAH (former OIE),,,Confirmed
251538,African horse sickness,,-26.467,31.389,Manzini,Swaziland,Africa,2019-03-25T00:00:00Z,2019-04-15T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
219307,African horse sickness,;Not specified;,-26.519201,31.214828,Nelson,Swaziland,Africa,2016-11-03T00:00:00Z,2016-11-21T00:00:00Z,"Domestic,Horse,Domestic,Horse,",WOAH (former OIE),,,Confirmed
252228,African horse sickness,;5;,-26.513987,31.269146,Gcina,Swaziland,Africa,2019-04-02T00:00:00Z,2019-04-30T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
251536,African horse sickness,,-26.519201,31.214828,Nelson,Swaziland,Africa,2019-03-15T00:00:00Z,2019-04-15T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
229416,African horse sickness,;7;,-26.485693,31.191971,McCreedy,Swaziland,Africa,2017-07-07T00:00:00Z,2017-07-21T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
273097,African horse sickness,,-26.519,31.214,Nelson,Swaziland,Africa,2020-05-08T00:00:00Z,2020-05-28T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
251537,African horse sickness,,-26.485693,31.191971,McCreedy,Swaziland,Africa,2019-03-22T00:00:00Z,2019-04-15T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
235433,African horse sickness,;7;,-26.485693,31.191971,McCreedy,Swaziland,Africa,2018-03-05T00:00:00Z,2018-04-11T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
168851,African horse sickness,,-26.499,31.344,Matsapha industrial area under Mahholwane diptank area,Swaziland,Africa,2012-03-01T00:00:00Z,2012-03-06T00:00:00Z,"Domestic,horse,",WOAH (former OIE),,,Confirmed
158045,African horse sickness,,-26.499,31.344,Maholwane,Swaziland,Africa,2011-01-18T00:00:00Z,2011-01-21T00:00:00Z,"Domestic,horse,",WOAH (former OIE),,,Confirmed
220937,African horse sickness,,-26.499,31.344,Maholwane,Swaziland,Africa,2016-12-07T00:00:00Z,2016-12-21T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
251535,African horse sickness,,-26.3562,31.52398,Scotts Ranch,Swaziland,Africa,2019-03-08T00:00:00Z,2019-04-15T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
129579,African horse sickness,,-27.221,31.735,Mathanjeni,Swaziland,Africa,2005-12-22T00:00:00Z,2006-01-12T00:00:00Z,"Domestic,horse,",National authorities,,,Confirmed
274916,African horse sickness,;1;,13.84,100.86,Nong Chok,Thailand,Asia,2020-06-16T00:00:00Z,2020-06-26T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
280459,African horse sickness,;1;,15.08204,102.7882,Hin Khon,Thailand,Asia,2020-08-11T00:00:00Z,2020-10-14T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
272516,African horse sickness,,13.600276,101.550335,Sanam Chai Khet,Thailand,Asia,2020-05-13T00:00:00Z,2020-05-22T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
270265,African horse sickness,,15.998288,102.333338,"Khon Sawan, Chaiyaphum",Thailand,Asia,2020-03-29T00:00:00Z,2020-04-17T00:00:00Z,"Domestic,Horse,",WOAH (former OIE),,,Confirmed
268657,African horse sickness,,13.25,101.206,Ko Chan,Thailand,Asia,2020-03-27T00:00:00Z,2020-04-03T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
272427,African horse sickness,,14.842423,100.966163,Phatthana Nikhom,Thailand,Asia,2020-05-05T00:00:00Z,2020-05-15T00:00:00Z,"Domestic,Equidae,",WOAH (former OIE),,,Confirmed
