Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
389330,African swine fever,,6.960994,81.239854,Uva,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
232311,African swine fever,,56.56325,23.119333,Dobeles,Latvia,Europe,2017-11-21T00:00:00Z,2017-11-29T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",EC,,,Confirmed
231129,African swine fever,,51.36047,31.830187,Chernihivs'ka,Ukraine,Europe,2017-10-01T00:00:00Z,2017-10-03T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
206855,African swine fever,,57.734251,25.333466,Nauksenu parish,Latvia,Europe,2015-08-14T00:00:00Z,2015-08-25T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
181539,African swine fever,,54.409187,37.390962,"Tesnitskoe, Aleksinsky",Russian Federation,Europe,2013-10-09T00:00:00Z,2013-10-17T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
181514,African swine fever,,51.01975,42.034339,"Khoperskoe hunting reserve, Uryupinskysky",Russian Federation,Europe,2013-08-21T00:00:00Z,2013-10-16T00:00:00Z,"Wild,wild boar,",WOAH (former OIE),,,Confirmed
347805,African swine fever,,-0.957341,122.381925,Sulawesi Tengah,Indonesia,Asia,,2023-03-14T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
283789,African swine fever,,38.177455,128.248739,"Wontong-ri, Buk-myeon, Inje-gun, Gangwon-Do (Outbreak 6)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
164385,African swine fever,,-17.94,15.06,Etunda,Namibia,Africa,2009-04-11T00:00:00Z,2009-05-10T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
273860,African swine fever,,6.539821,3.699221,Oke Aro farm,Nigeria,Africa,2020-02-28T00:00:00Z,2020-06-10T00:00:00Z,"Domestic,Swine,",FAO ECTAD RAF,,,Confirmed
181487,African swine fever,,55.269912,33.680005,"Yufanosky mokh stow, Izdeshkovo hunting reserve, Safonovky raion",Russian Federation,Europe,2013-07-22T00:00:00Z,2013-10-15T00:00:00Z,"Wild,wild boar,",WOAH (former OIE),,,Confirmed
389407,African swine fever,,9.179365,80.479806,Northern,Sri Lanka,Asia,,2024-10-25T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
237291,African swine fever,,45.052236,28.897984,Sireasa,Romania,Europe,2018-06-11T00:00:00Z,2018-06-14T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
233911,African swine fever,,48.962769,38.888322,Luhans'ka,Ukraine,Europe,2018-02-09T00:00:00Z,2018-02-13T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
257444,African swine fever,,44.217773,23.690846,Nedeia,Romania,Europe,2019-07-04T00:00:00Z,2019-07-25T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
386223,African swine fever,,-2.212988,119.406323,Sulawesi Barat,Indonesia,Asia,,2024-09-13T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
237523,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-16T00:00:00Z,2018-06-26T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
181507,African swine fever,,57.32,39.56,"Makarovo, Rostovsky",Russian Federation,Europe,2013-06-30T00:00:00Z,2013-10-16T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
277504,African swine fever,,10.250395,7.906949,Kaduna,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
179170,African swine fever,,57.49301,38.184016,"Prilukskoe hunting reserve, Uglichsky raion",Russian Federation,Europe,2013-07-07T00:00:00Z,2013-10-15T00:00:00Z,"Wild,wild boar,",WOAH (former OIE),,,Confirmed
259847,African swine fever,,44.217773,23.690846,Rast,Romania,Europe,2019-08-14T00:00:00Z,2019-08-26T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
237517,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-16T00:00:00Z,2018-06-26T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
176814,African swine fever,,56.429185,36.815542,Klinsky Districts,Russian Federation,Europe,,2013-07-15T00:00:00Z,"Wild,wild boar,",National authorities,,,Confirmed
387566,African swine fever,,43.578858,19.714732,PRIJEPOLJE,Serbia,Europe,2024-06-18T00:00:00Z,2024-09-30T00:00:00Z,"Wild,Wild boar:Sus scrofa(Suidae),Domestic,Swine,",WOAH (former OIE),,,Confirmed
378195,African swine fever,,-0.957341,122.381925,Sulawesi Tengah ...,Indonesia,Asia,,2024-08-21T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
277507,African swine fever,,5.037709,6.814513,Rivers,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
277503,African swine fever,,6.656339,5.851296,Edo,Nigeria,Africa,,2020-08-16T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
289100,African swine fever,,-6,144.583333,Jiwaka Province,Papua New Guinea,Oceania,2021-01-31T00:00:00Z,2021-02-19T00:00:00Z,"Domestic,Swine,",FAO Field Officer,,,Confirmed
237549,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-17T00:00:00Z,2018-06-27T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
237522,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-16T00:00:00Z,2018-06-26T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
289355,African swine fever,,43.431046,21.962114,Nisavski,Serbia,Europe,,2021-02-23T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
165340,African swine fever,,3.129437,32.104081,Gulu,Uganda,Africa,2010-09-28T00:00:00Z,2011-09-14T00:00:00Z,"Domestic,swine,",National authorities,,,Confirmed
181491,African swine fever,,50.790166,41.926767,"Gorsky, Uryupinsky raion",Russian Federation,Europe,2013-07-25T00:00:00Z,2013-10-15T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
205996,African swine fever,,56.503865,27.808247,Brigu Parish,Latvia,Europe,2015-07-22T00:00:00Z,2015-07-29T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
181508,African swine fever,,56.680351,37.950533,"Vorskovo, Sergiyevo-Posadsky",Russian Federation,Europe,2013-08-03T00:00:00Z,2013-10-16T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
237731,African swine fever,,47.725441,22.769389,SUPUR,Romania,Europe,2018-06-22T00:00:00Z,2018-06-28T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
237543,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-15T00:00:00Z,2018-06-27T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
237498,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-20T00:00:00Z,2018-06-25T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
249034,African swine fever,,21.139705,105.847715,Yen Son,Viet Nam,Asia,2019-03-12T00:00:00Z,2019-03-17T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
181693,African swine fever,,47.98,42.27,"Novotsimlyanskaya, Tsimlyansky",Russian Federation,Europe,2013-10-30T00:00:00Z,2013-11-05T00:00:00Z,"Domestic,swine,",WOAH (former OIE),,,Confirmed
274059,African swine fever,,5.418409,7.483745,Abia,Nigeria,Africa,,2020-06-12T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
238315,African swine fever,,53.785749,21.100579,Zelazna Gora,Poland,Europe,2018-06-22T00:00:00Z,2018-07-13T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
237520,African swine fever,,45.052236,28.897984,Pardina,Romania,Europe,2018-06-16T00:00:00Z,2018-06-26T00:00:00Z,"Domestic,Swine,",WOAH (former OIE),,,Confirmed
165342,African swine fever,,3.129437,32.104081,Obiya west” village ,Uganda,Africa,2010-11-01T00:00:00Z,2011-09-14T00:00:00Z,"Domestic,swine,",National authorities,,,Confirmed
386225,African swine fever,,0.707978,101.580735,Riau,Indonesia,Asia,,2024-09-13T00:00:00Z,"Domestic,Swine,",National authorities,,,Confirmed
283792,African swine fever,,37.898942,127.588328,"Mokdong-ri, Buk-myeon, Gapyeong-gun, Gyeonggi-Do (Outbreak 9)",Republic of Korea,Asia,2020-11-27T00:00:00Z,2020-12-05T00:00:00Z,"Wild,Wild boar (Sus scrofa) (Suidae),",WOAH (former OIE),,,Confirmed
