Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
228413,Influenza - Avian,;H7N9 LPAI;,40.266901,116.593838,Beijing Shi,China,Asia,2017-05-30T00:00:00Z,2017-06-13T00:00:00Z,,National authorities,1,,Confirmed
233138,Influenza - Avian,;H5N8 HPAI;,24.926662,39.957156,Madinah,Saudi Arabia,Asia,,2018-01-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
228609,Influenza - Avian,;H7N9 LPAI;,32.974818,119.563243,Jiangsu Sheng,China,Asia,2017-06-11T00:00:00Z,2017-06-23T00:00:00Z,,National authorities,1,,Confirmed
215576,Influenza - Avian,;H7N9 LPAI;,39.335327,115.643033,Hebei Sheng,China,Asia,2016-07-29T00:00:00Z,2016-08-12T00:00:00Z,,National authorities,1,,Confirmed
286360,Influenza - Avian,;HPAI;,29.292485,76.231115,Haryana,India,Asia,,2021-01-11T00:00:00Z,"Wild,Crow,",National authorities,,,Confirmed
211348,Influenza - Avian,;H7N9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2016-03-10T00:00:00Z,2016-03-18T00:00:00Z,,National authorities,1,,Confirmed
230427,Influenza - Avian,;H9N2 LPAI;,22.889451,112.430983,Guangdong Sheng,China,Asia,2017-04-28T00:00:00Z,2017-07-25T00:00:00Z,,WHO,1,,Confirmed
228528,Influenza - Avian,;H7N9 LPAI;,40.266901,116.593838,Beijing Shi,China,Asia,2017-04-25T00:00:00Z,2017-06-16T00:00:00Z,,National authorities,1,,Confirmed
217694,Influenza - Avian,;H5N1 HPAI;,29.30321,30.571836,Fayoum,Egypt,Africa,2016-05-07T00:00:00Z,2016-08-03T00:00:00Z,,FAO Field Officer,1,1,Confirmed
234636,Influenza - Avian,;H5N1 HPAI;,27.02274,91.807151,Samdrupjongkhar,Bhutan,Asia,2018-03-06T00:00:00Z,2018-03-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
222646,Influenza - Avian,;H7N9 LPAI;,22.198327,113.548063,Administrative unit not available,Macau,Asia,2017-01-08T00:00:00Z,2017-01-12T00:00:00Z,,National authorities,,,Confirmed
228412,Influenza - Avian,;H7N9 LPAI;,40.266901,116.593838,Beijing Shi,China,Asia,2017-05-20T00:00:00Z,2017-06-13T00:00:00Z,,National authorities,1,,Confirmed
284876,Influenza - Avian,;H5N3 HPAI;,54.209858,9.963143,Schleswig-Holstein,Germany,Europe,2020-12-17T00:00:00Z,2020-12-21T00:00:00Z,"Wild,Charadriidae (unidentified):Charadriidae (incognita)(Charadriidae),",WOAH (former OIE),,,Confirmed
233133,Influenza - Avian,;H5N8 HPAI;,23.402081,45.23404,Bani Tamim,Saudi Arabia,Asia,,2018-01-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
223193,Influenza - Avian,;H5N8 HPAI;,-0.575916,32.437378,Lulamba village,Uganda,Africa,,2017-02-06T00:00:00Z,"Domestic,Duck,",FAO Field Officer,,,Confirmed
211492,Influenza - Avian,;H7N9 LPAI;,25.920724,117.920212,Fujian Sheng,China,Asia,2016-02-04T00:00:00Z,2016-03-18T00:00:00Z,,National authorities,1,,Confirmed
234433,Influenza - Avian,;H5N8 HPAI;,17.353222,42.801154,Jizan,Saudi Arabia,Asia,,2018-03-02T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
224700,Influenza - Avian,;H7N9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2017-03-03T00:00:00Z,2017-03-07T00:00:00Z,,National authorities,1,,Confirmed
213218,Influenza - Avian,;H7N9 LPAI;,39.397175,117.389246,Tianjin Binhai Xin Area,China,Asia,,2016-06-14T00:00:00Z,,National authorities,1,,Confirmed
233112,Influenza - Avian,;H5N8 HPAI;,23.097817,50.33395,Dammam,Saudi Arabia,Asia,,2018-01-11T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
233135,Influenza - Avian,;H5N8 HPAI;,23.402081,45.23404,Al-Aflaj,Saudi Arabia,Asia,,2018-01-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
217333,Influenza - Avian,;H9N2 LPAI;,23.769381,53.710534,Abu Dhabi,United Arab Emirates,Asia,,2016-10-04T00:00:00Z,"Domestic,Quail,",National authorities,,,Confirmed
231353,Influenza - Avian,;H5N2 LPAI;,51.310855,3.777014,Zeeland,Netherlands,Europe,2017-10-11T00:00:00Z,2017-10-16T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
222648,Influenza - Avian,;H7N9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2017-01-01T00:00:00Z,2017-01-07T00:00:00Z,,National authorities,,,Confirmed
226771,Influenza - Avian,;H7N9 LPAI;,27.303952,115.482428,Jiangxi Sheng,China,Asia,2017-03-13T00:00:00Z,2017-04-20T00:00:00Z,,National authorities,1,,Confirmed
234313,Influenza - Avian,;HPAI;,34.47814,49.581934,Markazi,Iran  (Islamic Republic of),Asia,,2018-02-27T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
234431,Influenza - Avian,;H5N8 HPAI;,17.353222,42.801154,Jizan,Saudi Arabia,Asia,,2018-03-01T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
283360,Influenza - Avian,;H5N8 HPAI;,48.922712,12.035348,Bayern,Germany,Europe,2020-11-19T00:00:00Z,2020-11-24T00:00:00Z,"Wild,Anatidae (unidentified),Wild,Eurasian wigeon (Anas penelope),",WOAH (former OIE),,,Confirmed
234631,Influenza - Avian,;H5N8 HPAI;,23.402081,45.23404,Riyad,Saudi Arabia,Asia,,2018-03-09T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
214802,Influenza - Avian,;H7N9 LPAI;,40.266901,116.593838,Beijing Shi,China,Asia,2016-07-18T00:00:00Z,2016-07-27T00:00:00Z,,National authorities,1,,Confirmed
264828,Influenza - Avian,;H9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2020-02-04T00:00:00Z,2020-02-07T00:00:00Z,,National authorities,1,,Confirmed
211879,Influenza - Avian,;H5N6 HPAI;,31.16777,112.844994,Hubei Sheng,China,Asia,2016-04-09T00:00:00Z,2016-04-21T00:00:00Z,,National authorities,1,,Confirmed
220866,Influenza - Avian,;H7N9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2016-12-08T00:00:00Z,2016-12-20T00:00:00Z,,National authorities,1,,Confirmed
233111,Influenza - Avian,;H5N8 HPAI;,23.402081,45.23404,Diriyah Governorate,Saudi Arabia,Asia,,2018-01-11T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
228608,Influenza - Avian,;H7N9 LPAI;,40.266901,116.593838,Beijing Shi,China,Asia,2017-06-12T00:00:00Z,2017-06-23T00:00:00Z,,National authorities,1,,Confirmed
233137,Influenza - Avian,;H5N8 HPAI;,25.968187,43.424387,Buraidah,Saudi Arabia,Asia,,2018-01-13T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
232877,Influenza - Avian,;H5N6 HPAI;,36.519053,126.846962,Pungso river,Republic of Korea,Asia,2017-12-19T00:00:00Z,2017-12-23T00:00:00Z,"Environmental sample,Unspecified bird,",National authorities,,,Confirmed
232727,Influenza - Avian,;H5N6 HPAI;,37.542616,127.462483,Yongin City,Republic of Korea,Asia,2017-12-13T00:00:00Z,2017-12-20T00:00:00Z,"Environmental sample,Unspecified bird,",National authorities,,,Confirmed
244578,Influenza - Avian,;H9N2 LPAI;,22.889451,112.430983,Guangdong Sheng,China,Asia,2018-12-19T00:00:00Z,2019-01-02T00:00:00Z,,National authorities,1,,Confirmed
243303,Influenza - Avian,;H5 LPAI;,37.542616,127.462483,South Han,Republic of Korea,Asia,2018-12-03T00:00:00Z,2018-12-05T00:00:00Z,"Environmental sample,Unspecified bird,",National authorities,,,Confirmed
