Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
218046,Bluetongue,;4;,42.482843,18.839482,Cetinje,Montenegro,Europe,2016-08-17T00:00:00Z,2016-10-14T00:00:00Z,"Domestic,Goat/sheep ,",WOAH (former OIE),,,Confirmed
218049,Bluetongue,;4;,42.611523,19.077907,Danilovgrad,Montenegro,Europe,2016-08-19T00:00:00Z,2016-10-14T00:00:00Z,"Domestic,Goat/sheep ,Domestic,Cattle,",WOAH (former OIE),,,Confirmed
218047,Bluetongue,;4;,42.860109,18.829539,Niksic,Montenegro,Europe,2016-08-17T00:00:00Z,2016-10-14T00:00:00Z,"Domestic,Goat/sheep ,Domestic,Cattle,",WOAH (former OIE),,,Confirmed
218050,Bluetongue,;4;,43.151367,18.830459,Pluzine,Montenegro,Europe,2016-08-20T00:00:00Z,2016-10-14T00:00:00Z,"Domestic,Goat/sheep ,Domestic,Cattle,",WOAH (former OIE),,,Confirmed
218048,Bluetongue,;4;,43.317005,19.293825,Pljevlja,Montenegro,Europe,2016-08-19T00:00:00Z,2016-10-14T00:00:00Z,"Domestic,Goat/sheep ,Domestic,Cattle,",WOAH (former OIE),,,Confirmed
191849,Bluetongue,;4;,40.738,20.098,Persinake,Albania,Europe,2014-09-06T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,",WOAH (former OIE),,,Confirmed
191845,Bluetongue,;4;,40.715,20.022,Mimias,Albania,Europe,2014-09-04T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191844,Bluetongue,;4;,40.732,20.041,Bogdan i Siperm,Albania,Europe,2014-09-04T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191854,Bluetongue,;4;,40.551,20.028,Lugas,Albania,Europe,2014-09-08T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,",WOAH (former OIE),,,Confirmed
191853,Bluetongue,;4;,41.521,20.445,Gjorice e Siperme,Albania,Europe,2014-09-08T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,",WOAH (former OIE),,,Confirmed
191852,Bluetongue,;4;,39.89,20.091,Krane,Albania,Europe,2014-09-08T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191834,Bluetongue,;4;,40.497,20.921,Cete,Albania,Europe,2014-08-09T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191851,Bluetongue,;4;,41.177,19.976,Mamel,Albania,Europe,2014-09-07T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
191847,Bluetongue,;4;,40.1,20.203,Krine,Albania,Europe,2014-09-05T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191848,Bluetongue,;4;,40.166,20.05,Picar,Albania,Europe,2014-09-05T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191846,Bluetongue,;4;,40.162,20.147,Karjan,Albania,Europe,2014-09-05T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191850,Bluetongue,;4;,40.122,20.184,Dhoksat,Albania,Europe,2014-09-07T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,sheep,Domestic,cattle,",WOAH (former OIE),,,Confirmed
191843,Bluetongue,;4;,40.196,20.138,Labove e Vogel,Albania,Europe,2014-09-04T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191837,Bluetongue,;4;,40.769,20.322,Bratile,Albania,Europe,2014-08-23T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191842,Bluetongue,;4;,40.75,20.2,Kerpice,Albania,Europe,2014-08-31T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191836,Bluetongue,;4;,40.791,20.409,Grabove e Poshteme,Albania,Europe,2014-08-20T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191835,Bluetongue,;4;,40.777,20.387,Kurate,Albania,Europe,2014-08-18T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191838,Bluetongue,;4;,40.761,20.389,Bicaj,Albania,Europe,2014-08-26T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191839,Bluetongue,;4;,40.871,20.218,Gramsh Fshat,Albania,Europe,2014-08-28T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191254,Bluetongue,;4;,40.149034,20.59913,Qender Leskovik,Albania,Europe,2014-08-13T00:00:00Z,2014-09-12T00:00:00Z,"Domestic,sheep,Domestic,Goats,",WOAH (former OIE),,,Confirmed
191841,Bluetongue,;4;,41.133,20.404,Kokreve,Albania,Europe,2014-08-31T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
191840,Bluetongue,;4;,41.27,20.29,Funarez,Albania,Europe,2014-08-30T00:00:00Z,2014-09-24T00:00:00Z,"Domestic,cattle,Domestic,sheep,Domestic,Goats,",WOAH (former OIE),,,Confirmed
205768,Bluetongue,;12;,-12.65,131.33,Beatrice Hill,Australia,Oceania,2015-02-05T00:00:00Z,2015-07-15T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
202263,Bluetongue,;5;,-12.65,131.33,Beatrice Hill,Australia,Oceania,2015-01-08T00:00:00Z,2015-04-28T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
209845,Bluetongue,;4;,46.98,16.12,Farm,Austria,Europe,2016-01-05T00:00:00Z,2016-01-20T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
208705,Bluetongue,;4;,46.99,16.26,Jennersdorf,Austria,Europe,2015-11-13T00:00:00Z,2015-11-18T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
212657,Bluetongue,;4;,46.91,16.06,Jennersdorf,Austria,Europe,2016-03-23T00:00:00Z,2016-05-25T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
208706,Bluetongue,;4;,47.74,16.83,Neusiedl,Austria,Europe,2015-11-13T00:00:00Z,2015-11-18T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
226124,Bluetongue,;4;,46.6814,14.2664,Kärnten,Austria,Europe,2016-12-22T00:00:00Z,2017-04-06T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
161469,Bluetongue,;8;,48.4667,13.6222,St. Roman,Austria,Europe,2009-07-17T00:00:00Z,2011-03-24T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
130270,Bluetongue,;8;,48.513644,13.490078,Wibling,Austria,Europe,2008-10-31T00:00:00Z,2008-11-07T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
209844,Bluetongue,;4;,47.01,15.97,Farm,Austria,Europe,2015-11-26T00:00:00Z,2016-01-20T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
208704,Bluetongue,;4;,47.05,16.05,Hartberg-Fürstenfeld,Austria,Europe,2015-11-13T00:00:00Z,2015-11-18T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
113457,Bluetongue,,51.04972,3.66667,Tronchiennes,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113548,Bluetongue,,50.86667,4.06667,Eversem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113541,Bluetongue,,50.98,3.53,Deinze,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113562,Bluetongue,,51.2,3.48306,Adegem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113538,Bluetongue,,51.01,3.48,Vinkt,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113568,Bluetongue,,51.11667,3.54972,Somergem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113463,Bluetongue,,51.08,3.53,Hansbeke,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113544,Bluetongue,,51.11667,3.54972,Somergem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113439,Bluetongue,,50.91667,4.28306,Hamme,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113592,Bluetongue,,50.93306,5.33306,Hasselt,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113556,Bluetongue,,51.06667,3.26667,Wynghene,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113532,Bluetongue,,51.04972,3.43306,Poucques,Belgium,Europe,2006-10-03T00:00:00Z,2006-10-03T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113256,Bluetongue,,50.68,6.04972,Walhorn,Belgium,Europe,2006-09-16T00:00:00Z,2006-09-18T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
113574,Bluetongue,,49.71667,5.18306,Saint-Remy,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113586,Bluetongue,,50.53306,4.75,Beuzet,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113598,Bluetongue,,50.38306,4.86667,Profondeville,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113580,Bluetongue,,50.63306,4.76667,Orbais,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
215942,Bluetongue,,43.6472,18.88,Goražde,Bosnia and Herzegovina,Europe,2016-08-22T00:00:00Z,2016-08-29T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
215940,Bluetongue,,43.6269,18.6757,Ustikolina,Bosnia and Herzegovina,Europe,2016-08-22T00:00:00Z,2016-08-29T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
216498,Bluetongue,,43.0834,17.9197,Poprati,Bosnia and Herzegovina,Europe,2016-08-29T00:00:00Z,2016-09-16T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
216500,Bluetongue,,43.3267,17.8596,Potoci,Bosnia and Herzegovina,Europe,2016-08-31T00:00:00Z,2016-09-16T00:00:00Z,"Domestic,Sheep,",WOAH (former OIE),,,Confirmed
