Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
281221,Bluetongue,;Not specified;,40.848711,20.363596,Kukur,Albania,Europe,2020-08-09T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,Domestic,Sheep,",WOAH (former OIE),,,Confirmed
281220,Bluetongue,;Not specified;,40.797924,20.383149,Rmath village,Albania,Europe,2020-08-09T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,Domestic,Sheep,",WOAH (former OIE),,,Confirmed
281224,Bluetongue,;Not specified;,40.136432,20.593877,Qender Leskovik,Albania,Europe,2020-08-10T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Goat/sheep ,",WOAH (former OIE),,,Confirmed
281223,Bluetongue,;Not specified;,40.310023,20.670668,Taç Lart,Albania,Europe,2020-08-10T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,Domestic,Sheep,",WOAH (former OIE),,,Confirmed
281222,Bluetongue,;Not specified;,41.100664,20.264089,Gurshpate,Albania,Europe,2020-08-10T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,Domestic,Sheep,",WOAH (former OIE),,,Confirmed
281226,Bluetongue,;Not specified;,41.251651,20.255393,Zdrajsh Veri,Albania,Europe,2020-08-22T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
281219,Bluetongue,;Not specified;,41.208577,20.250504,Kuturman village,Albania,Europe,2020-08-06T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,Domestic,Goats,Domestic,Sheep,",WOAH (former OIE),,,Confirmed
281225,Bluetongue,;Not specified;,41.117732,20.555891,Skenderbej,Albania,Europe,2020-08-12T00:00:00Z,2020-10-23T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
281978,Bluetongue,;4;,41.466389,20.027778,Marena,Albania,Europe,2020-10-27T00:00:00Z,2020-11-10T00:00:00Z,"Domestic,Goat/sheep ,",WOAH (former OIE),,,Confirmed
393862,Bluetongue,;4;,47.975,16.607,143996MANNERSDORF AM LEITHAGEBIRGE,Austria,Europe,2024-10-22T00:00:00Z,2025-01-02T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
393838,Bluetongue,;4;,47.351,16.116,145819PINKAFELD,Austria,Europe,2024-11-20T00:00:00Z,2025-01-02T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
393872,Bluetongue,;4;,46.671,14.006,143986OSSIACH,Austria,Europe,2024-10-01T00:00:00Z,2025-01-02T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
393855,Bluetongue,;4;,46.737,14.155,145798ST. URBAN,Austria,Europe,2024-11-08T00:00:00Z,2025-01-02T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
