Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
113256,Bluetongue,,50.68,6.04972,Walhorn,Belgium,Europe,2006-09-16T00:00:00Z,2006-09-18T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
113544,Bluetongue,,51.11667,3.54972,Somergem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113548,Bluetongue,,50.86667,4.06667,Eversem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113463,Bluetongue,,51.08,3.53,Hansbeke,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113562,Bluetongue,,51.2,3.48306,Adegem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113538,Bluetongue,,51.01,3.48,Vinkt,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113568,Bluetongue,,51.11667,3.54972,Somergem,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113457,Bluetongue,,51.04972,3.66667,Tronchiennes,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113541,Bluetongue,,50.98,3.53,Deinze,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113439,Bluetongue,,50.91667,4.28306,Hamme,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113592,Bluetongue,,50.93306,5.33306,Hasselt,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113556,Bluetongue,,51.06667,3.26667,Wynghene,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113574,Bluetongue,,49.71667,5.18306,Saint-Remy,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113586,Bluetongue,,50.53306,4.75,Beuzet,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113598,Bluetongue,,50.38306,4.86667,Profondeville,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113580,Bluetongue,,50.63306,4.76667,Orbais,Belgium,Europe,2006-09-28T00:00:00Z,2006-09-29T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
113532,Bluetongue,,51.04972,3.43306,Poucques,Belgium,Europe,2006-10-03T00:00:00Z,2006-10-03T00:00:00Z,"Domestic,sheep,",National authorities,,,Confirmed
168011,Bluetongue,;8;,46.36249,6.87694,Port-Valais,Switzerland,Europe,2008-01-11T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168018,Bluetongue,;8;,47.44132,7.04008,Courchavon,Switzerland,Europe,2008-02-08T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
165876,Bluetongue,;8;,45.69830213,2.11549185,SAINT SETIERS,France,Europe,2008-05-21T00:00:00Z,2008-05-21T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
165880,Bluetongue,;8;,46.05271127,1.84890926,SARDENT,France,Europe,2008-05-21T00:00:00Z,2008-05-21T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
165878,Bluetongue,;8;,45.74270592,1.27147174,VIGEN,France,Europe,2008-05-21T00:00:00Z,2008-05-21T00:00:00Z,"Domestic,cattle,Domestic,sheep,",WOAH (former OIE),,,Confirmed
165877,Bluetongue,;8;,47.52178367,-0.90371445,LOUROUX BECONNAIS,France,Europe,2008-05-21T00:00:00Z,2008-05-21T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
165879,Bluetongue,;8;,46.54159174,-1.59405578,GROSBREUIL,France,Europe,2008-05-21T00:00:00Z,2008-05-21T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167986,Bluetongue,;8;,47.3917,6.99867,Chevenez,Switzerland,Europe,2008-08-18T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
130273,Bluetongue,,47.834444,20.803056,Gelej,Hungary,Europe,2008-08-25T00:00:00Z,2008-09-15T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
168019,Bluetongue,;8;,47.10932,6.90705,Renan,Switzerland,Europe,2008-08-27T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167975,Bluetongue,;8;,47.47942,7.97435,Wittnau,Switzerland,Europe,2008-09-11T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
167994,Bluetongue,;8;,47.46038,7.5896,Pfeffingen,Switzerland,Europe,2008-09-11T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168003,Bluetongue,;8;,46.74545,7.17155,Ferpicloz,Switzerland,Europe,2008-09-11T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168030,Bluetongue,;8;,46.74753,6.98985,Chénens,Switzerland,Europe,2008-09-15T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168020,Bluetongue,;8;,47.45941,7.58295,Pfeffingen,Switzerland,Europe,2008-09-16T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
167976,Bluetongue,;8;,47.05127,8.35013,Luzern,Switzerland,Europe,2008-09-16T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168021,Bluetongue,;8;,46.79024,7.21967,St. Ursen,Switzerland,Europe,2008-09-19T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
167987,Bluetongue,;8;,46.36337,6.1803,Céligny,Switzerland,Europe,2008-09-24T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167977,Bluetongue,;8;,47.47505,7.51819,Hofstetten,Switzerland,Europe,2008-09-30T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
167978,Bluetongue,;8;,47.4997,7.55145,Therwil,Switzerland,Europe,2008-10-01T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
167967,Bluetongue,;8;,46.74179,6.85668,Surpierre,Switzerland,Europe,2008-10-01T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167995,Bluetongue,;8;,47.71569,8.64106,Schaffhausen Farm 1,Switzerland,Europe,2008-10-06T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167996,Bluetongue,;8;,47.18412,7.68955,Niederönz,Switzerland,Europe,2008-10-09T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168004,Bluetongue,;8;,46.73931,7.02621,Autigny,Switzerland,Europe,2008-10-09T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168005,Bluetongue,;8;,46.37847,6.14968,La Rippe,Switzerland,Europe,2008-10-14T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167998,Bluetongue,;8;,47.27614,7.39795,Eschert,Switzerland,Europe,2008-10-22T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
130271,Bluetongue,;1;,41.7102,-7.4412,Chaves,Portugal,Europe,2008-10-23T00:00:00Z,2008-11-06T00:00:00Z,"Domestic,cattle,Domestic,sheep,",National authorities,,,Confirmed
167988,Bluetongue,;8;,47.72602,8.60406,Schaffhausen Farm 4,Switzerland,Europe,2008-10-29T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168012,Bluetongue,;8;,47.72589,8.65206,Schaffhausen Farm 3,Switzerland,Europe,2008-10-29T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167968,Bluetongue,;8;,47.73569,8.62206,Schaffhausen Farm 2,Switzerland,Europe,2008-10-29T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
130270,Bluetongue,;8;,48.513644,13.490078,Wibling,Austria,Europe,2008-10-31T00:00:00Z,2008-11-07T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
168022,Bluetongue,;8;,47.69602,8.66406,Schaffhausen Farm 5,Switzerland,Europe,2008-10-31T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167989,Bluetongue,;8;,46.97769,8.03789,Hasle,Switzerland,Europe,2008-11-03T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
168023,Bluetongue,;8;,47.70269,8.4964,Gächlingen,Switzerland,Europe,2008-11-06T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168013,Bluetongue,;8;,46.72838,6.79555,Prévondavaux,Switzerland,Europe,2008-11-11T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168014,Bluetongue,;8;,47.18226,8.80541,Altendorf Farm 2,Switzerland,Europe,2008-11-12T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168031,Bluetongue,;8;,47.19275,8.80306,Altendorf Farm 3,Switzerland,Europe,2008-11-12T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167969,Bluetongue,;8;,47.19329,8.81244,Altendorf,Switzerland,Europe,2008-11-12T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
167999,Bluetongue,;8;,47.18448,8.81797,Altendorf Farm 4,Switzerland,Europe,2008-11-12T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168006,Bluetongue,;8;,47.16829,7.88722,Grossdietwil,Switzerland,Europe,2008-11-13T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
168000,Bluetongue,;8;,46.96225,8.02712,Schüpfheim,Switzerland,Europe,2008-12-01T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,Goats,",WOAH (former OIE),,,Confirmed
168007,Bluetongue,;8;,47.17067,8.56473,Edlibach,Switzerland,Europe,2008-12-05T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
130314,Bluetongue,;8;,44.488083,7.415525,VILLAR SAN COSTANZO,Italy,Europe,2008-12-09T00:00:00Z,2009-01-23T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
130311,Bluetongue,;8;,44.504304,7.441591,BUSCA,Italy,Europe,2008-12-09T00:00:00Z,2009-01-15T00:00:00Z,"Domestic,cattle,",National authorities,,,Confirmed
130313,Bluetongue,;8;,44.498159,7.432598,BUSCA,Italy,Europe,2008-12-18T00:00:00Z,2009-01-23T00:00:00Z,"Domestic,cattle,Domestic,Goats,",National authorities,,,Confirmed
167970,Bluetongue,;8;,47.41907,9.575,Reute,Switzerland,Europe,2008-12-18T00:00:00Z,2012-02-22T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
130312,Bluetongue,;8;,40.99,9.31206,SANT'ANTONIO DI GALLURA,Italy,Europe,2008-12-31T00:00:00Z,2009-01-16T00:00:00Z,"Domestic,cattle,Domestic,Goats,Domestic,sheep,",National authorities,,,Confirmed
