Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
151490,Influenza - Avian,;H5N1 HPAI;,30.517,31.217,Mit Elhofeyeen village,Egypt,Africa,2010-01-14T00:00:00Z,2010-01-15T00:00:00Z,"Domestic,duck,Domestic,chicken,Domestic,unspecified bird,",National authorities,,,Confirmed
202513,Influenza - Avian,;H9N2 LPAI;,24.143979,90.406929,Dhaka,Bangladesh,Asia,2010-09-01T00:00:00Z,2010-09-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
202510,Influenza - Avian,;H9N2 LPAI;,24.143979,90.406929,Dhaka,Bangladesh,Asia,2009-08-10T00:00:00Z,2009-08-10T00:00:00Z,"Wild,Pigeon,",International reference laboratory,,,Confirmed
198920,Influenza - Avian,;H7N9 LPAI;,25.162687,115.400391,"Anyuan County, Ganzhou City",China,Asia,,2015-01-16T00:00:00Z,,National authorities,1,,Confirmed
200355,Influenza - Avian,;H5N1 HPAI;,31.343396,31.681092,Aulad Hamam,Egypt,Africa,2015-02-08T00:00:00Z,2015-02-10T00:00:00Z,"Domestic,duck,",National authorities,,,Confirmed
198603,Influenza - Avian,;H5N1 HPAI;,26.732162,32.060659,Al-Rawafe District,Egypt,Africa,2014-12-19T00:00:00Z,2014-12-19T00:00:00Z,,National authorities,1,,Confirmed
160118,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Al Meslhaya,Egypt,Africa,2008-01-16T00:00:00Z,2008-01-20T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159252,Influenza - Avian,;H5N1 HPAI;,29.021996,29.451783,hefna,Egypt,Africa,2006-03-18T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159158,Influenza - Avian,;H5N1 HPAI;,30.360187,31.208088,Tahla,Egypt,Africa,2006-03-04T00:00:00Z,2006-03-23T00:00:00Z,"Domestic,unspecified bird,",WOAH (former OIE),,,Confirmed
159004,Influenza - Avian,;H5N1 HPAI;,30.671095,30.347881,Al Buhayrah (behera),Egypt,Africa,2008-03-30T00:00:00Z,2008-04-08T00:00:00Z,,National authorities,1,1,Confirmed
151856,Influenza - Avian,;H5N1 HPAI;,30.878,31.033,Demshit village,Egypt,Africa,2010-02-01T00:00:00Z,2010-02-02T00:00:00Z,"Domestic,chicken,Domestic,duck,Domestic,unspecified bird,",National authorities,,,Confirmed
146497,Influenza - Avian,;H5N1 HPAI;,28.508,30.741,Nazlet Amro,Egypt,Africa,2009-12-09T00:00:00Z,2009-12-10T00:00:00Z,"Domestic,chicken,Domestic,duck,Domestic,unspecified bird,",National authorities,,,Confirmed
146324,Influenza - Avian,;H5N1 HPAI;,30.324,31.249,Kafr Azab Ghoneim (village),Egypt,Africa,2009-11-25T00:00:00Z,2009-11-25T00:00:00Z,"Domestic,chicken,Domestic,unspecified bird,",National authorities,,,Confirmed
130996,Influenza - Avian,;H5N1 HPAI;,31.1103134,30.340374,Al Buhayrah (behera),Egypt,Africa,2009-03-13T00:00:00Z,2009-03-18T00:00:00Z,"Domestic,unspecified bird,",National authorities,,,Confirmed
130769,Influenza - Avian,;H5N1 HPAI;,31.1606255,29.9149265,Al Iskandariyah (alex.),Egypt,Africa,2009-03-08T00:00:00Z,2009-03-10T00:00:00Z,"Domestic,chicken,Domestic,duck,",National authorities,,,Confirmed
220866,Influenza - Avian,;H7N9 LPAI;,22.408705,114.057637,Administrative unit not available,"Hong Kong, SAR",Asia,2016-12-08T00:00:00Z,2016-12-20T00:00:00Z,,National authorities,1,,Confirmed
202482,Influenza - Avian,;H5N8 HPAI;,36.596626,127.531156,Jeongeup,Republic of Korea,Asia,2015-04-29T00:00:00Z,2015-05-05T00:00:00Z,"Domestic,Duck,",National authorities,,,Confirmed
234631,Influenza - Avian,;H5N8 HPAI;,23.402081,45.23404,Riyad,Saudi Arabia,Asia,,2018-03-09T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
214024,Influenza - Avian,;H5 LPAI;,40.994666,-77.822434,Pennsylvania,United States of America,Americas,,2016-07-01T00:00:00Z,"Domestic,Unspecified bird,",National authorities,,,Confirmed
202416,Influenza - Avian,;H9N2 LPAI;,21.1397,105.84772,Ha Noi City,Viet Nam,Asia,2014-07-08T00:00:00Z,2014-07-08T00:00:00Z,"Domestic,muscovy ducks,",International reference laboratory,,,Confirmed
203939,Influenza - Avian,;H9N2 LPAI;,36.66853,117.020358999,Shandong,China,Asia,2013-03-30T00:00:00Z,2013-03-30T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203936,Influenza - Avian,;H9N2 LPAI;,22.815478,108.32754599999,Guangxi,China,Asia,2013-03-14T00:00:00Z,2013-03-14T00:00:00Z,"Wild,Unspecified bird,",International reference laboratory,,,Confirmed
203856,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2012-12-01T00:00:00Z,2012-12-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203701,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2011-11-01T00:00:00Z,2011-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203700,Influenza - Avian,;H9N2 LPAI;,23.132191,113.266530999,Guangdong,China,Asia,2011-11-01T00:00:00Z,2011-11-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203528,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203519,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203515,Influenza - Avian,;H9N2 LPAI;,37.873532,112.562398,Shanxi,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203484,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203474,Influenza - Avian,;H9N2 LPAI;,36.66853,119.295143999,Shandong,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
203443,Influenza - Avian,;H9N2 LPAI;,32.061707,118.763232,Jiangsu,China,Asia,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,"Domestic,Chicken,",International reference laboratory,,,Confirmed
