Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
182416,Lumpy skin disease,,37.381855,36.237266,Durmussofular,Turkey,Asia,2013-12-19T00:00:00Z,2014-01-17T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
182156,Lumpy skin disease,,37.252809,36.454268,Kurtulus,Turkey,Asia,2013-12-10T00:00:00Z,2014-01-06T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
282724,Lumpy skin disease,,21.11686,106.110121,Bac Ninh,Viet Nam,Asia,,2020-11-24T00:00:00Z,"Domestic,Cattle,",National authorities,,,Confirmed
181809,Lumpy skin disease,,33.184,44.685,Ninevah,Iraq,Asia,2013-09-25T00:00:00Z,2013-11-27T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
229473,Lumpy skin disease,,52.445971,53.545054,Myasnikov A.I,Russian Federation,Europe,2017-07-10T00:00:00Z,2017-07-24T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
255548,Lumpy skin disease,,32.83736,35.386941, KEFAR HARUV ,Israel,Asia,2019-07-05T00:00:00Z,2019-07-13T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
176414,Lumpy skin disease,,30.47328,30.974925,Al Sadat,Egypt,Africa,2006-01-25T00:00:00Z,2006-04-19T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
181949,Lumpy skin disease,,29.021996,29.451783,"Wardan, Monshaat elkanater",Egypt,Africa,2013-11-04T00:00:00Z,2013-12-12T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
181946,Lumpy skin disease,,30.649606,31.772195,"Ezbat el ebrashi, Diarb negm, Dabig",Egypt,Africa,2013-10-03T00:00:00Z,2013-12-12T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
255545,Lumpy skin disease,,32.83736,35.386941,Kanaf,Israel,Asia,2019-06-23T00:00:00Z,2019-07-13T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
181950,Lumpy skin disease,,30.598749,32.443449,"Elsalhia, Al ismailiyah",Egypt,Africa,2013-11-14T00:00:00Z,2013-12-12T00:00:00Z,"Domestic,cattle,",WOAH (former OIE),,,Confirmed
262128,Lumpy skin disease,,24.589827,91.696838,Sylhet,Bangladesh,Asia,,2019-12-04T00:00:00Z,"Domestic,Cattle,",FAO Field Officer,,,Confirmed
