Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
204413,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-06-03T00:00:00Z,2015-06-09T00:00:00Z,,National authorities,1,,Confirmed
204348,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-06-04T00:00:00Z,2015-06-05T00:00:00Z,,National authorities,1,,Confirmed
209532,MERS-CoV,,24.103249,56.679541,Al Batnah,Oman,Asia,2015-12-25T00:00:00Z,2016-01-03T00:00:00Z,,WHO,1,,Confirmed
288887,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2021-01-28T00:00:00Z,2021-02-08T00:00:00Z,,National authorities,1,,Confirmed
213725,MERS-CoV,,18.237637,45.611746,Najran,Saudi Arabia,Asia,,2016-06-26T00:00:00Z,,National authorities,1,,Confirmed
211600,MERS-CoV,,27.096804,41.73943,Hail,Saudi Arabia,Asia,2016-03-22T00:00:00Z,2016-03-27T00:00:00Z,,National authorities,1,1,Confirmed
232308,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2017-11-23T00:00:00Z,2017-11-28T00:00:00Z,,National authorities,1,1,Confirmed
204977,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-06-10T00:00:00Z,2015-06-15T00:00:00Z,,National authorities,1,,Confirmed
204418,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-05-30T00:00:00Z,2015-06-09T00:00:00Z,,National authorities,1,,Confirmed
226695,MERS-CoV,,23.769381,53.710534,Abu Dhabi,United Arab Emirates,Asia,2017-04-11T00:00:00Z,2017-04-11T00:00:00Z,,National authorities,1,,Confirmed
205224,MERS-CoV,,23.769381,53.710534,Abu Dhabi,United Arab Emirates,Asia,2015-06-18T00:00:00Z,2015-06-18T00:00:00Z,,National authorities,1,,Confirmed
184670,MERS-CoV,,29.964992,31.5699,Al Qahirah (cairo),Egypt,Africa,2014-04-22T00:00:00Z,2014-04-26T00:00:00Z,,National authorities,1,,Confirmed
248909,MERS-CoV,,32.612275,44.611861,Babil,Iraq,Asia,2015-10-31T00:00:00Z,2017-06-30T00:00:00Z,,Publications,1,,Confirmed
204253,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-06-01T00:00:00Z,2015-06-03T00:00:00Z,,National authorities,1,,Confirmed
204099,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-05-25T00:00:00Z,2015-05-27T00:00:00Z,,National authorities,1,,Confirmed
204337,MERS-CoV,,23.433797,56.151471,Al Dhair village,Oman,Asia,2015-05-11T00:00:00Z,2015-06-04T00:00:00Z,,National authorities,1,,Confirmed
284866,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2020-11-20T00:00:00Z,2020-11-30T00:00:00Z,,National authorities,1,1,Confirmed
253012,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2019-05-03T00:00:00Z,2019-05-11T00:00:00Z,,National authorities,1,,Confirmed
228449,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2017-06-11T00:00:00Z,2017-06-14T00:00:00Z,,National authorities,1,,Confirmed
228356,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,,2017-06-09T00:00:00Z,,National authorities,1,,Confirmed
224350,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2017-02-20T00:00:00Z,2017-02-27T00:00:00Z,,National authorities,1,,Confirmed
205231,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2015-06-24T00:00:00Z,2015-06-28T00:00:00Z,,National authorities,1,,Confirmed
247759,MERS-CoV,,21.040989,41.438669,Makkah,Saudi Arabia,Asia,2019-02-10T00:00:00Z,2019-02-22T00:00:00Z,,National authorities,1,,Confirmed
243940,MERS-CoV,,18.237637,45.611746,Najran city,Saudi Arabia,Asia,2018-12-01T00:00:00Z,2018-12-13T00:00:00Z,,National authorities,1,,Confirmed
204407,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-06-02T00:00:00Z,2015-06-09T00:00:00Z,,National authorities,1,1,Confirmed
204256,MERS-CoV,,37.554493,126.95169,Seoul,Republic of Korea,Asia,2015-05-30T00:00:00Z,2015-06-03T00:00:00Z,,National authorities,1,,Confirmed
228172,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,,2017-06-07T00:00:00Z,,National authorities,1,,Confirmed
202752,MERS-CoV,,23.402081,45.23404,Riyad,Saudi Arabia,Asia,2015-04-25T00:00:00Z,2015-05-11T00:00:00Z,,National authorities,1,,Confirmed
175795,MERS-CoV,,24.72438,46.713867,Administrative unit not available,Saudi Arabia,Asia,2013-01-29T00:00:00Z,2013-02-21T00:00:00Z,,WHO,1,1,Confirmed
