Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
182055,Rabies,,23.117943,121.383133,"Chenggong Township, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-11-21T00:00:00Z,2013-12-18T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181873,Rabies,,22.910531,121.138601,"Guanshan Township, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-11-11T00:00:00Z,2013-12-03T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181698,Rabies,,23.606738,120.606784,"Gukeng Township, YUNLIN COUNTY",Taiwan (Province of China),Asia,2013-10-24T00:00:00Z,2013-11-07T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181742,Rabies,,23.807099,120.86051,"Shuili Township, NANTOU COUNTY",Taiwan (Province of China),Asia,2013-11-04T00:00:00Z,2013-11-13T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181592,Rabies,,23.595394,120.596645,"Gukeng Township, YUNLIN COUNTY",Taiwan (Province of China),Asia,2013-10-17T00:00:00Z,2013-10-23T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
233087,Rabies,,32.83736,35.386941,"Amakim region, Wadi Ara",Israel,Asia,2017-10-01T00:00:00Z,2018-01-09T00:00:00Z,"Domestic,Catstle,Domestic,Sheep,Domestic,Cats,Domestic,Dogs,Wild,Jackal,",WOAH (former OIE),,,Confirmed
182059,Rabies,,23.117943,121.383133,"Chenggong Township, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-12-06T00:00:00Z,2013-12-18T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181744,Rabies,,23.17887,120.9651908,"Chenggong Township, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-11-05T00:00:00Z,2013-11-13T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181652,Rabies,,23.132763,121.357854,"Chenggong Township, Xingnong Road, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-10-20T00:00:00Z,2013-10-30T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181522,Rabies,,23.295378,120.594263,"Dapu Township, CHIAYI CITY",Taiwan (Province of China),Asia,2013-09-10T00:00:00Z,2013-10-16T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181650,Rabies,,23.690159,120.728609,"Zhushan Township, NANTOU COUNTY",Taiwan (Province of China),Asia,2013-10-18T00:00:00Z,2013-10-30T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181654,Rabies,,22.913922,121.136224,"Luye Township, TAITUNG COUNTY",Taiwan (Province of China),Asia,2013-10-21T00:00:00Z,2013-10-30T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
181651,Rabies,,24.193934,120.853581,"Dongshi District, TAICHUNG CITY",Taiwan (Province of China),Asia,2013-10-19T00:00:00Z,2013-10-30T00:00:00Z,"Wild,Ferret-badger,",WOAH (former OIE),,,Confirmed
