Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
252068,Rift Valley fever,,15.397999,-15.690158,Louga,Senegal,Africa,2018-03-31T00:00:00Z,2018-12-31T00:00:00Z,"Domestic,Goat/sheep ,",WOAH (former OIE),,,Confirmed
232199,Rift Valley fever,,0.456054,32.076864,Mityana,Uganda,Africa,2017-11-18T00:00:00Z,2017-11-24T00:00:00Z,,National authorities,1,1,Confirmed
260330,Rift Valley fever,,18.978991,33.063347,Nile,Sudan,Africa,,2019-10-24T00:00:00Z,,UN Field Officer,145,,Confirmed
233442,Rift Valley fever,,0.304799,33.038249,Buikwe,Uganda,Africa,2017-11-18T00:00:00Z,2017-11-24T00:00:00Z,,National authorities,1,1,Confirmed
279590,Rift Valley fever,,19.33921,-7.001458,Hodh Ech Chargi,Mauritania,Africa,,2020-10-03T00:00:00Z,,FAO Field Officer,1,1,Confirmed
244952,Rift Valley fever,,-12.825298,45.149107,Administrative unit not available,Mayotte,Africa,2018-11-22T00:00:00Z,2019-01-04T00:00:00Z,,WHO,5,,Confirmed
233440,Rift Valley fever,,1.003018,32.175894,Nakaseke,Uganda,Africa,2017-11-18T00:00:00Z,2017-11-24T00:00:00Z,,National authorities,1,,Confirmed
238482,Rift Valley fever,,-0.52912,30.629672,Mbarara,Uganda,Africa,,2018-07-20T00:00:00Z,,FAO Field Officer,1,,Confirmed
152950,Rift Valley fever,,-32.108625,26.590501,Eastern Cape,South Africa,Africa,2010-03-19T00:00:00Z,2010-03-19T00:00:00Z,,National authorities,13,,Confirmed
280114,Rift Valley fever,,17.293079,-13.27927,Brakna,Mauritania,Africa,,2020-10-11T00:00:00Z,,WHO,,,Confirmed
237943,Rift Valley fever,,-0.059925,30.492347,Ibanda,Uganda,Africa,,2018-07-05T00:00:00Z,,FAO Field Officer,1,,Confirmed
280109,Rift Valley fever,,21.44798,-9.352329,Adrar,Mauritania,Africa,,2020-10-11T00:00:00Z,,WHO,,,Confirmed
282235,Rift Valley fever,,19.33921,-7.001458,Hodh Ech Chargi,Mauritania,Africa,2020-10-15T00:00:00Z,2020-11-13T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
325528,Rift Valley fever,,-3.119935,29.398028,Bubanza,Burundi,Africa,,2022-06-28T00:00:00Z,"Domestic,Cattle,",National authorities,,,Confirmed
280113,Rift Valley fever,,17.529093,-15.046658,Trarza,Mauritania,Africa,,2020-10-11T00:00:00Z,,WHO,,,Confirmed
280110,Rift Valley fever,,15.99642,-12.688452,Gorgol,Mauritania,Africa,,2020-10-11T00:00:00Z,,WHO,,,Confirmed
260331,Rift Valley fever,,15.925097,33.118437,Khartoum,Sudan,Africa,,2019-10-24T00:00:00Z,,UN Field Officer,1,,Confirmed
325526,Rift Valley fever,,-3.266491,29.653233,Muramvya,Burundi,Africa,,2022-06-28T00:00:00Z,"Domestic,Cattle,",National authorities,,,Confirmed
260625,Rift Valley fever,,13.595186,32.443085,White Nile,Sudan,Africa,,2019-10-31T00:00:00Z,,UN Field Officer,1,,Confirmed
152459,Rift Valley fever,,-28.84844,22.021682,Northern Cape,South Africa,Africa,2010-03-04T00:00:00Z,2010-03-04T00:00:00Z,,"National Institute for Communicable Diseases, NICD",60,8,Confirmed
279120,Rift Valley fever,,17.529093,-15.046658,Trarza,Mauritania,Africa,,2020-09-28T00:00:00Z,"Domestic,Cattle,",WHO,,,Confirmed
154369,Rift Valley fever,,-28.84844,22.021682,Modderfontein,South Africa,Africa,2010-04-11T00:00:00Z,2010-05-06T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
214626,Rift Valley fever,,33.904778,113.076847,Henan Sheng,China,Asia,2016-07-14T00:00:00Z,2016-07-23T00:00:00Z,,National authorities,1,,Confirmed
238481,Rift Valley fever,,-0.05258,31.408869,Ssembabule,Uganda,Africa,,2018-07-20T00:00:00Z,,FAO Field Officer,1,,Confirmed
