COUNTRY,ISO3,area_sq_km
Afghanistan,AFG,930332.2385487197
Albania,ALB,50394.14933761857
Algeria,DZA,2998893.9219971793
American Samoa,ASM,174.3548274536999
Andorra,AND,931.5880910583813
Angola,AGO,1310518.8053353776
Anguilla,AIA,101.12133038852396
Antarctica,ATA,696528926.6708019
Antigua and Barbuda,ATG,588.5161770727227
Argentina,ARG,4294465.699414997
Armenia,ARM,50852.704876870375
Aruba,ABW,209.33888332627197
Australia,AUS,9600412.300315868
Austria,AUT,183945.81610798778
Azerbaijan,AZE,281818.09649562027
Azores,PRT,4164.135037462943
Bahamas,BHS,14587.14705703932
Bahrain,BHR,791.8408205061592
Bangladesh,BGD,164716.11812442594
Barbados,BRB,470.5988685248007
Belarus,BLR,586327.6614923225
Belgium,BEL,75925.45211435003
Belize,BLZ,24203.967264134135
Benin,BEN,119607.79691842821
Bermuda,BMU,29.992061207740925
Bhutan,BTN,50485.44337962852
Bolivia,BOL,1187377.9506539486
Bonaire,BES,330.7962922562348
Bosnia and Herzegovina,BIH,99843.76746419338
Botswana,BWA,674914.6098526419
Bouvet Island,BVT,169.02384665003683
Brazil,BRA,8960431.125810195
British Indian Ocean Territory,IOT,91.91614228517831
British Virgin Islands,VGB,128.11652790857056
Brunei Darussalam,BRN,5782.60114002126
Bulgaria,BGR,205391.02610019426
Burkina Faso,BFA,285281.59881986986
Burundi,BDI,27280.954423816238
Cabo Verde,CPV,4360.651942130345
Cambodia,KHM,190994.55345518797
Cameroon,CMR,470198.2721092592
Canada,CAN,51127675.72687659
Canarias,ESP,9739.074862278547
Cayman Islands,CYM,234.04543532940195
Central African Republic,CAF,627299.2091555613
Chad,TCD,1373886.1356367378
Chile,CHL,1268322.8902262996
China,CHN,14895690.430081427
Christmas Island,CXR,128.16500247155366
Cocos Islands,CCK,18.772729811724858
Colombia,COL,1144212.7629803226
Comoros,COM,1791.907677109206
Congo,COG,344664.8283792164
Congo DRC,COD,2346169.463447025
Cook Islands,COK,172.4837384686523
Costa Rica,CRI,52653.39864997514
Côte d'Ivoire,CIV,327278.857754896
Croatia,HRV,111651.0972759813
Cuba,CUB,126285.01709959505
Curacao,CUW,494.40009711658035
Cyprus,CYP,13601.781628408324
Czech Republic,CZE,187893.576776512
Denmark,DNK,135772.73408644198
Djibouti,DJI,22357.896727718842
Dominica,DMA,828.3183455752657
Dominican Republic,DOM,54000.36591674645
Ecuador,ECU,255612.43413510706
Egypt,EGY,1248387.1564574766
El Salvador,SLV,21791.30827924535
Equatorial Guinea,GNQ,26948.499522330952
Eritrea,ERI,130022.0823238045
Estonia,EST,169146.719239927
Eswatini,SWZ,21359.72444178095
Ethiopia,ETH,1155918.4890870377
Falkland Islands,FLK,29847.909127772426
Faroe Islands,FRO,6710.00046227681
Fiji,FJI,19851.35402387549
Finland,FIN,1821582.0831388577
France,FRA,1158678.1196952092
French Guiana,GUF,84005.13896107733
French Polynesia,PYF,2239.5526057756365
French Southern Territories,ATF,17448.4501358841
Gabon,GAB,260866.12087728316
Gambia,GMB,11332.238931527698
