Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Asia,Afghanistan,"Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e)",Domestic,"Cattle",-,14100
2005,Jul-Dec 2005,Asia,Afghanistan,"Foot and mouth disease virus (Inf. with)",Domestic,"Cattle",-,46069
2005,Jul-Dec 2005,Asia,Afghanistan,"Anthrax",Domestic,"Cattle",-,50182
2005,Jul-Dec 2005,Europe,Albania,"Anthrax",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Africa,Algeria,"Rabies virus (Inf. with)",Domestic,"Cattle",-,26593
2005,Jul-Dec 2005,Africa,Algeria,"Foot and mouth disease virus (Inf. with)",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Europe,Andorra,"Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis",Domestic,"Cattle",-,700
2005,Jul-Dec 2005,Africa,Angola,"Anthrax",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Africa,Angola,"Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia)",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Americas,Argentina,"Brucella abortus (Inf. with)",Domestic,"Cattle",-,4500000
2005,Jul-Dec 2005,Americas,Argentina,"Foot and mouth disease virus (Inf. with)",Domestic,"Cattle",-,58000000
2005,Jul-Dec 2005,Asia,Armenia,"Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e)",Domestic,"Cattle",-,114735
2005,Jul-Dec 2005,Asia,Armenia,"Anthrax",Domestic,"Cattle",-,382826
2005,Jul-Dec 2005,Asia,Armenia,"Foot and mouth disease virus (Inf. with)",Domestic,"Cattle",-,1020569
2005,Jul-Dec 2005,Asia,Armenia,"Rabies virus (Inf. with)",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Oceania,Australia,"Bovine genital campylobacteriosis",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Europe,Austria,"Anthrax",Domestic,"Cattle",-,-
2005,Jul-Dec 2005,Europe,Austria,"Rabies virus (Inf. with)",Domestic,"Cattle",-,-
