Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Asia,Afghanistan,Newcastle disease virus (Inf. with),Domestic,Birds,-,95574
2005,Jul-Dec 2005,Europe,Albania,Newcastle disease virus (Inf. with),Domestic,Birds,-,2046783
2005,Jul-Dec 2005,Africa,Algeria,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Algeria,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Algeria,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Algeria,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Algeria,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Duck virus hepatitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Angola,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Argentina,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Armenia,Newcastle disease virus (Inf. with),Domestic,Birds,-,5000000
2005,Jul-Dec 2005,Asia,Armenia,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Armenia,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Armenia,High pathogenicity avian influenza viruses (poultry) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Armenia,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Armenia,Marek's disease (-2011),Domestic,Birds,-,-
