Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Africa,Angola,Huambo,Taenia solium (Inf. with) (Porcine cysticercosis),,Domestic,Swine,-,-,-,321,Animal,10,3,321,0,0
2005,Jul-Dec 2005,Africa,Angola,Huila,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,150,Animal,58,0,0,58,0
2005,Jul-Dec 2005,Africa,Benin,Abomey-Calavi,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,17360,Animal,467,0,0,332,-
2005,Jul-Dec 2005,Africa,Benin,Abomey-Calavi,Taenia solium (Inf. with) (Porcine cysticercosis),,Domestic,Swine,-,-,-,-,Animal,1,-,1,-,-
2005,Jul-Dec 2005,Africa,Benin,Akpro-Misserete,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,3000,Animal,25,0,0,20,-
2005,Jul-Dec 2005,Africa,Benin,Cotonou,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,12602,Animal,538,0,4,383,-
2005,Jul-Dec 2005,Africa,Benin,Lokossa,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,56,Animal,56,0,0,56,-
2005,Jul-Dec 2005,Africa,Benin,Ouidah,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,30000,Animal,70,0,0,45,-
2005,Jul-Dec 2005,Africa,Benin,Parakou,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,1040,Animal,151,0,80,71,-
2005,Jul-Dec 2005,Africa,Benin,Seme-Kpodji,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,19000,Animal,170,0,65,105,-
2005,Jul-Dec 2005,Africa,Benin,So-Ava,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,2038,Animal,30,0,0,19,-
2005,Jul-Dec 2005,Africa,Benin,Toffo,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,6000,Animal,800,0,0,500,-
2005,Jul-Dec 2005,Africa,Benin,Tori-Bossito,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,80,Animal,36,0,0,36,-
2005,Jul-Dec 2005,Africa,Benin,Za-Kpota,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,6910,Animal,180,0,0,160,-
2005,Jul-Dec 2005,Africa,Burundi,Burundi,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,-,Animal,312,-,-,-,-
2005,Jul-Dec 2005,Africa,Cameroon,Centre,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,3,Animal,3,0,0,3,-
2005,Jul-Dec 2005,Africa,Cameroon,Littoral,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,175,Animal,37,19,0,18,-
2005,Jul-Dec 2005,Africa,Cameroon,Sud-Ouest,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,25,Animal,17,10,0,13,-
2005,Jul-Dec 2005,Africa,Congo (Dem. Rep. of the),Congo (Dem. Rep. of the),African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,1853,Animal,642,0,0,605,0
2005,Jul-Dec 2005,Africa,Egypt,Egypt,Trichinella spp. (Inf. with),,Domestic,Swine,-,-,-,-,Animal,344,0,344,0,0
2005,Jul-Dec 2005,Africa,Ghana,Eastern,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,219,Animal,10,0,0,10,0
2005,Jul-Dec 2005,Africa,Ghana,Volta,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,500,Animal,25,0,0,25,0
2005,Jul-Dec 2005,Africa,Madagascar,Madagascar,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,711,Animal,66,-,-,66,-
2005,Jul-Dec 2005,Africa,Madagascar,Madagascar,Classical swine fever virus (Inf. with),,Domestic,Swine,-,-,-,182,Animal,6,-,-,4,-
2005,Jul-Dec 2005,Africa,Malawi,Central,African swine fever virus (Inf. with),,Domestic,Swine,-,-,-,2488,Animal,2457,-,-,5,-
2005,Jul-Dec 2005,Africa,Malawi,Central,Rabies virus (Inf. with),,Domestic,Swine,-,-,-,-,Animal,1,-,-,1,-
2005,Jul-Dec 2005,Africa,Malawi,Central,Taenia solium (Inf. with) (Porcine cysticercosis),,Domestic,Swine,-,-,-,-,Animal,93,-,-,-,-
