Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Asia,Afghanistan,Foot and mouth disease virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Armenia,Anthrax,Domestic,Swine,-,26613
2005,Jul-Dec 2005,Asia,Armenia,Classical swine fever virus (Inf. with),Domestic,Swine,-,262994
2005,Jul-Dec 2005,Asia,Armenia,African swine fever virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Armenia,Rabies virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Europe,Austria,Rabies virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Azerbaijan,Anthrax,Domestic,Swine,-,503
2005,Jul-Dec 2005,Europe,Belarus,Enterovirus encephalomyelitis (-2005),Domestic,Swine,-,106800
2005,Jul-Dec 2005,Europe,Belarus,Transmissible gastroenteritis,Domestic,Swine,-,196377
2005,Jul-Dec 2005,Europe,Belarus,Porcine reproductive and respiratory syndrome virus (Inf. with),Domestic,Swine,-,342000
2005,Jul-Dec 2005,Europe,Belarus,Aujeszky's disease virus (Inf. with),Domestic,Swine,-,935970
2005,Jul-Dec 2005,Europe,Belarus,Classical swine fever virus (Inf. with),Domestic,Swine,-,4123850
2005,Jul-Dec 2005,Europe,Belgium,Porcine reproductive and respiratory syndrome virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Bhutan,Foot and mouth disease virus (Inf. with),Domestic,Swine,-,177
2005,Jul-Dec 2005,Asia,Bhutan,Classical swine fever virus (Inf. with),Domestic,Swine,-,726
2005,Jul-Dec 2005,Europe,Bosnia and Herzegovina,Classical swine fever virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Americas,Brazil,Rabies virus (Inf. with),Domestic,Swine,-,3059
2005,Jul-Dec 2005,Americas,Brazil,Aujeszky's disease virus (Inf. with),Domestic,Swine,-,20609
2005,Jul-Dec 2005,Americas,Brazil,Leptospirosis,Domestic,Swine,-,173137
2005,Jul-Dec 2005,Americas,Brazil,Atrophic rhinitis of swine (-2005),Domestic,Swine,-,311677
2005,Jul-Dec 2005,Europe,Bulgaria,Transmissible gastroenteritis,Domestic,Swine,-,1029
2005,Jul-Dec 2005,Europe,Bulgaria,Leptospirosis,Domestic,Swine,-,42978
2005,Jul-Dec 2005,Europe,Bulgaria,Aujeszky's disease virus (Inf. with),Domestic,Swine,-,157790
2005,Jul-Dec 2005,Europe,Bulgaria,Classical swine fever virus (Inf. with),Domestic,Swine,-,1605916
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Transmissible gastroenteritis,Domestic,Swine,-,1790089
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Atrophic rhinitis of swine (-2005),Domestic,Swine,-,3238936
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Porcine reproductive and respiratory syndrome virus (Inf. with),Domestic,Swine,-,12235796
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Japanese encephalitis,Domestic,Swine,-,12731917
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Aujeszky's disease virus (Inf. with),Domestic,Swine,-,17893517
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Foot and mouth disease virus (Inf. with),Domestic,Swine,-,400904139
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Classical swine fever virus (Inf. with),Domestic,Swine,-,433973485
2005,Jul-Dec 2005,Asia,China (People's Rep. of),Anthrax,Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Foot and mouth disease virus (Inf. with),Domestic,Swine,-,4576788
2005,Jul-Dec 2005,Asia,Chinese Taipei,Classical swine fever virus (Inf. with),Domestic,Swine,-,4634344
2005,Jul-Dec 2005,Asia,Chinese Taipei,Atrophic rhinitis of swine (-2005),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Aujeszky's disease virus (Inf. with),Domestic,Swine,-,-
2005,Jul-Dec 2005,Asia,Chinese Taipei,Transmissible gastroenteritis,Domestic,Swine,-,-
2005,Jul-Dec 2005,Americas,Colombia,Classical swine fever virus (Inf. with),Domestic,Swine,-,2900276
2005,Jul-Dec 2005,Americas,Costa Rica,Anthrax,Domestic,Swine,-,-
2005,Jul-Dec 2005,Americas,Costa Rica,Leptospirosis,Domestic,Swine,-,-
