Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Afghanistan,AFG,Anthrax,2005,5.0,5.0,1.7927184063770478,10.746298317462923,2.218770800976259e-06,7.95526250888417e-07,4.768714585073407e-06,None,2005
Afghanistan,AFG,Foot and mouth disease virus (Inf. with),2005,2777.0,2777.0,2382.7956140322635,3232.5133798470483,0.0006161526514311072,0.0005286877333109082,0.0007172206300969711,None,2005
Afghanistan,AFG,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,11.0,11.0,3.8106181484153274,25.711468747389734,2.4406478810738853e-06,8.454888281374146e-07,5.704785610692197e-06,None,2005
Angola,AGO,Anthrax,2005,41.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Bovine anaplasmosis,2005,12.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Bovine babesiosis,2005,20.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Bovine tuberculosis (-2018),2005,34.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Dermatophilosis (-2005),2005,80.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Lumpy skin disease virus (Inf. with),2005,50.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia),2005,858.0,0.0,0.0,0.0,,,,None,2005
Angola,AGO,Trypanosomosis (tsetse-transmitted) (-2021),2005,123.0,0.0,0.0,0.0,,,,None,2005
Albania,ALB,Anthrax,2005,6.0,6.0,2.3845706836709932,12.157136705114736,1.1881188118811881e-05,4.721922145883155e-06,2.407353802993017e-05,None,2005
Albania,ALB,Bovine anaplasmosis,2005,4.0,4.0,1.2415689687009293,9.290960587349767,7.920792079207921e-06,2.458552413269167e-06,1.839794175712825e-05,None,2005
Albania,ALB,Bovine tuberculosis (-2018),2005,62.0,62.0,36.97324800542574,97.22643874886181,6.138613861386138e-05,3.660717624299578e-05,9.626380074144732e-05,None,2005
Albania,ALB,Brucella abortus (Inf. with),2005,21.0,21.0,13.249958136570859,31.304046039947448,4.158415841584158e-05,2.623754086449675e-05,6.198820998009396e-05,None,2005
Albania,ALB,Echinococcosis/hydatidosis,2005,26.0,26.0,12.808595653911073,46.82363490263825,2.5742574257425742e-05,1.2681777875159477e-05,4.6360034557067565e-05,None,2005
Argentina,ARG,Anthrax,2005,91.0,91.0,61.17135104681215,131.0352162024008,1.2765616532915503e-06,8.581208903999595e-07,1.8381816729093683e-06,None,2005
Argentina,ARG,Bluetongue virus (Inf. with),2005,1.0,1.0,0.057031078245021974,4.398728747398595,2.8056300072341768e-08,1.6000810446915389e-09,1.23412053673851e-07,None,2005
