Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Afghanistan,AFG,Newcastle disease (velogenic),2005,467.0,467.0,381.530622918149,567.804841436803,1.7039442478199e-05,1.3920918849861312e-05,2.0717511637056335e-05,None,2005
Angola,AGO,Newcastle disease (velogenic),2005,93.0,0.0,0.0,0.0,,,,None,2005
Albania,ALB,Newcastle disease (velogenic),2005,252.0,252.0,222.1528286026815,284.4058752070607,3.037223343956344e-05,2.67749109903967e-05,3.427794298957221e-05,None,2005
Austria,AUT,Avian chlamydiosis,2005,4.0,4.0,0.6649360458507855,12.343670551818807,5.041656688387804e-08,8.38094815728438e-09,1.5558137299208217e-07,None,2005
Burundi,BDI,Fowl typhoid,2005,1378.0,1378.0,1277.6495739772122,1483.4680095278243,0.000372936400541272,0.0003457779631873375,0.00040147984019697547,None,2005
Burundi,BDI,Newcastle disease (velogenic),2005,730.0,730.0,657.646928666068,807.4705462297812,0.00019756427604871447,0.00017798293062681138,0.00021853059437883118,None,2005
Belgium,BEL,Avian infectious laryngotracheitis,2005,8.0,8.0,3.655845449413072,14.889849014167845,4.9803432079013144e-08,2.275920631640165e-08,9.269569800548364e-08,None,2005
Benin,BEN,Newcastle disease (velogenic),2005,8804.0,8804.0,8120.042462898302,9546.795994738113,0.00017084530000776216,0.00015757281811104367,0.00018525956676896128,None,2005
Burkina Faso,BFA,Fowl pox (-2005),2005,65.0,65.0,50.45173332160025,82.10689923641341,9.09090909090909e-07,7.056186478545489e-07,1.148348241068719e-06,None,2005
Burkina Faso,BFA,Newcastle disease (velogenic),2005,1345.0,1345.0,1245.8890538110008,1449.2285258178154,9.405594405594406e-06,8.712510865811194e-06,1.0134465215509197e-05,None,2005
Bulgaria,BGR,Fowl typhoid,2005,9736.0,9736.0,9543.88543325925,9930.673495616194,0.00025404114861250635,0.00024902830913017126,0.0002591207581472999,None,2005
Bulgaria,BGR,Newcastle disease (velogenic),2005,126.0,125.99999999999999,105.26028046698192,149.29836683347548,3.287714125428903e-06,2.7465532614119408e-06,3.895637694776852e-06,None,2005
Belarus,BLR,Avian infectious laryngotracheitis,2005,209.0,209.0,181.9301273234419,238.62855975021156,3.6159169550173012e-06,3.147580057498995e-06,4.128521794986359e-06,None,2005
Belarus,BLR,Avian tuberculosis (-2005),2005,4.0,4.0,0.80301729976072,12.175171846256266,3.4602076124567476e-08,6.946516433916264e-09,1.053215557634625e-07,None,2005
Belarus,BLR,Fowl cholera (-2011),2005,131.0,131.0,105.50152527612798,161.60597241512363,1.1332179930795848e-06,9.126429522156399e-07,1.3979755399232146e-06,None,2005
Belarus,BLR,Marek's disease (-2011),2005,10467.0,10467.0,10186.31771784115,10752.800098602858,9.054498269896194e-05,8.811693527544247e-05,9.301730189102819e-05,None,2005
Bolivia,BOL,Avian infectious bronchitis,2005,10.0,10.0,5.010507715435303,17.53745804461532,7.625725199108579e-08,3.820875494592295e-08,1.3373583573913253e-07,None,2005
Bolivia,BOL,Fowl typhoid,2005,397.0,397.0,344.81382619946515,454.30353465536115,1.513706452023053e-06,1.3147277417251538e-06,1.7321969561327424e-06,None,2005
Bolivia,BOL,Infectious bursal disease (Gumboro disease),2005,3.0,3.0,0.745986221515698,7.776443098857671,2.287717559732574e-08,5.688685927600053e-09,5.930101809839295e-08,None,2005
Bolivia,BOL,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,308.0,308.0,273.9832205144539,347.031261077692,2.3487233613254423e-06,2.089320748809994e-06,2.646365032478584e-06,None,2005
Brazil,BRA,Avian infectious bronchitis,2005,174960.0,174960.0,173565.05896198854,176367.73526072156,3.0409284356355933e-05,3.0166833746586614e-05,3.065395869244276e-05,None,2005
Brazil,BRA,Fowl cholera (-2011),2005,11301.0,11301.0,11018.027219723033,11589.090588655123,1.9641936586144168e-06,1.9150109897726764e-06,2.014265838717318e-06,None,2005
Brazil,BRA,Fowl typhoid,2005,91296.0,91296.0,90303.84243672669,92326.25242795047,1.5867889943975032e-05,1.569544594838811e-05,1.6046955096240535e-05,None,2005
Brazil,BRA,Infectious bursal disease (Gumboro disease),2005,642435.0,642435.0,638808.3655387397,646087.22326262,0.00011165974277249386,0.00011102940807548297,0.00011229452498400454,None,2005
Brazil,BRA,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,2371504.0,2371504.0,2364820.8922860175,2378230.54718965,0.0004121841534535638,0.00041102258210663507,0.000413353274888329,None,2005
Barbados,BRB,Fowl cholera (-2011),2005,2.0,2.0,0.33246802292539274,6.171835275909404,2.5698682942499196e-07,4.271995154839611e-08,7.930401896446391e-07,None,2005
Barbados,BRB,Fowl pox (-2005),2005,6.0,6.0,2.384570683670995,12.157136705114741,7.709604882749759e-07,3.0640162976819723e-07,1.5621120083668154e-06,None,2005
Barbados,BRB,Marek's disease (-2011),2005,4.0,4.0,1.2415689687009286,9.29096058734976,5.139736588499839e-07,1.5953343638945436e-07,1.193827251827788e-06,None,2005
Barbados,BRB,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,54.0,54.0,36.10689219169091,77.00438405383181,3.4693221972373915e-06,2.3197489361831616e-06,4.947278127454662e-06,None,2005
Bhutan,BTN,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,742.0,742.0,689.8830129050439,796.6757846937053,0.0024208809135399675,0.002250841803931628,0.0025992684655585818,None,2005
Bhutan,BTN,Newcastle disease (velogenic),2005,215.0,215.0,185.47358072595136,249.60753692359393,0.000701468189233279,0.0006051340317323046,0.0008143802183477779,None,2005
Botswana,BWA,Fowl pox (-2005),2005,229.0,229.0,148.76399437227178,337.3066093749411,4.043793042556948e-05,2.6269467485832914e-05,5.9563236689906605e-05,None,2005
Botswana,BWA,Infectious bursal disease (Gumboro disease),2005,480.0,480.0,438.3292675603379,524.2294941053898,0.00016952145505915592,0.00015480461506633866,0.00018514197213681435,None,2005
Botswana,BWA,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,7.0,6.999999999999999,2.4416017619160173,16.555865452513338,1.2360939431396785e-06,4.311498784947938e-07,2.923515001326741e-06,None,2005
Botswana,BWA,Newcastle disease (velogenic),2005,3070.0,3070.0,2900.0444971714405,3270.533383080032,0.001084230972982518,0.0010242078393683349,0.0011550532873318142,None,2005
Switzerland,CHE,Avian chlamydiosis,2005,7.0,7.0,0.39921754771515383,30.79110123179016,1.2773955729119146e-07,7.285124686858406e-09,5.618916628367336e-07,None,2005
Switzerland,CHE,Avian infectious laryngotracheitis,2005,5.0,5.0,0.28515539122510986,21.993643736992972,9.124254092227961e-08,5.203660490613147e-09,4.0135118774052395e-07,None,2005
Chile,CHL,Avian infectious bronchitis,2005,33050.0,33050.0,32682.623962003967,33422.49364677631,0.00011712755740313498,0.00011582559498319801,0.00011844765637424227,None,2005
Chile,CHL,Fowl cholera (-2011),2005,600.0,600.0,534.6396440178123,670.477795314865,2.1263701797845986e-06,1.8947363266168821e-06,2.3761399836087514e-06,None,2005
Chile,CHL,Fowl pox (-2005),2005,24.0,24.0,15.633140442859855,34.9217550302664,1.701096143827679e-07,1.1080614551360596e-07,2.4752192840700424e-07,None,2005
Chile,CHL,Marek's disease (-2011),2005,98.0,98.0,75.54820486781296,128.0653856989909,3.473071293648178e-07,2.6773908327862524e-07,4.538573620215788e-07,None,2005
China (People's Rep. of),CHN,Avian infectious bronchitis,2005,2808515.0,2808515.0,2796472.5821764753,2820667.4493434587,0.00018905705763358642,0.00018824641425781318,0.0001898751078544026,None,2005
China (People's Rep. of),CHN,Avian infectious laryngotracheitis,2005,1206865.0,1206865.0,1198567.14642445,1215272.8418573248,8.124092122027416e-05,8.06823456806499e-05,8.180690069433584e-05,None,2005
China (People's Rep. of),CHN,Duck virus enteritis (-2005),2005,589632.0,589632.0,584654.1636742604,594681.4572461775,3.969147076181072e-05,3.9356384394415164e-05,4.003137833916348e-05,None,2005
China (People's Rep. of),CHN,Duck virus hepatitis,2005,953534.0,953534.0,946930.0913479314,960219.7861539071,6.418777624245703e-05,6.37432297334866e-05,6.46378343899923e-05,None,2005
China (People's Rep. of),CHN,Fowl cholera (-2011),2005,3363587.0,3363587.0,3347262.6739129093,3380021.358339156,0.00022642209897920504,0.00022532321609701407,0.00022752838875572282,None,2005
China (People's Rep. of),CHN,Fowl pox (-2005),2005,175209.0,175209.0,171465.52768514445,179062.48076966783,1.1794310520300958e-05,1.1542316188357071e-05,1.2053710144643717e-05,None,2005
China (People's Rep. of),CHN,High pathogenicity avian influenza viruses (poultry) (Inf. with),2005,161311.0,161311.0,159538.9801125966,163113.7261333943,1.0858757394541763e-05,1.073947269569533e-05,1.098010910478675e-05,None,2005
China (People's Rep. of),CHN,Infectious bursal disease (Gumboro disease),2005,2416319.0,2416319.0,2401114.5822429648,2431633.440301421,0.0001626561226997648,0.0001616326271926456,0.0001636870244477319,None,2005
China (People's Rep. of),CHN,Marek's disease (-2011),2005,418387.0,418387.0,414483.7003418404,422387.4422542029,2.816399954144568e-05,2.7901246325445822e-05,2.843329197599301e-05,None,2005
China (People's Rep. of),CHN,Newcastle disease (velogenic),2005,1687455.0,1687455.0,1676712.5968651897,1698297.1938741773,0.00011359215713253572,0.00011286902511131418,0.00011432200663383617,None,2005
China (People's Rep. of),CHN,Pullorum disease,2005,5987719.0,5987719.0,5963874.424377706,6011699.190651642,0.00040306729217281037,0.00040146217868483803,0.00040468153467679974,None,2005
Cameroon,CMR,Fowl pox (-2005),2005,6.0,6.0,2.384570683670996,12.157136705114743,1.1822660098522167e-07,4.698661445657135e-08,2.395494917263989e-07,None,2005
Cameroon,CMR,Newcastle disease (velogenic),2005,941.0,941.0,770.2655500351653,1142.3961548980765,9.270935960591133e-06,7.588823153055816e-06,1.1255134531015532e-05,None,2005
Colombia,COL,Avian infectious bronchitis,2005,152634.0,152634.0,151430.31807657427,153850.4761686356,0.00016720233987314734,0.00016588377104798522,0.00016853492410599056,None,2005
Colombia,COL,Avian infectious laryngotracheitis,2005,72460.0,72460.0,71825.77400753245,73099.34385565166,0.00015875206765475917,0.00015736254670989836,0.0001601528012874816,None,2005
Colombia,COL,Infectious bursal disease (Gumboro disease),2005,176976.0,176976.0,175120.02594724594,178862.67082051924,0.00019386769200433797,0.00019183457222523027,0.00019593443844196788,None,2005
Colombia,COL,Marek's disease (-2011),2005,13415.0,13415.0,13018.289814611504,13832.120551277732,1.469541117574244e-05,1.4260836498747363e-05,1.5152344311104245e-05,None,2005
Colombia,COL,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,84172.0,84172.0,83525.5307158415,84833.71208681367,9.220590007339489e-05,9.149772773323857e-05,9.293077008425478e-05,None,2005
